text,id,gold_label
The number of words in this sentence is eight.,0,False
"The correct answer if someone asks you whether this sentence contains negations is not ""yes"".",1,False
This sentence is written in English and another שפה.,2,True
"The last word you will read before the period is not ""dog"".",3,False
"The first and last words of this sentence are ""The"" and ""The"", respectively. ",4,False
"<pre style='overflow: scroll; max-height: 300px;'>This sentence
l
o
o
k
s
like a letter
a
n
d
i
t
is a capital F.</pre>",5,False
"A lime is typically green, and this sentence contains no rhyme.",6,False
"The numerical digit symbol ""1"" appears in this sentence exactly 1 plus 1 times. ",7,False
"The penultimate word in this sentence is ""is"".",8,True
The color words that this sentence contains are blue and green but not red.,9,False
All of the words in this sentence are spelled correctly with no eceptions.,10,False
If you added a word here: _ this sentence would be eleven words.,11,False
"The middle word of this sentence is this: ""of"".",12,False
"To pronounce all of the text in this passage, you need to speak this quoted text out loud once: ""to pronounce all of the text in this passage, you need to speak this quoted text out loud once"".",13,False
This sentence continued past these words first becomes hard to comprehend around the end.,14,False
The number of syllables this statement has is twelve.,15,False
"To say this sentence, you need to say ""to say this sentence, you need to say"" exactly twice.",16,True
The number of words in this sentence is an even number.,17,False
This statement contains 1 numerical symbol(s).,18,True
This sentence is grammatically complete without changes to it.,19,True
"If every writer was a baker, this sentence would have exactly ten words.",20,False
"<pre style='overflow: scroll; max-height: 300px;'>T
h
i
s
s
e
n
t
e
n
c
e
looks like the letter ""I"".</pre>",21,False
"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span>if a word’s weight is negligible and the weight of balloon emojis is effectively negative, then the left side of this sentence is heavier <span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span>.",22,True
"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span>if a word’s weight is negligible and the weight of brick emojis is very heavy, then the right side of this sentence is heavier <span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span>.",23,True
in this statement some characters are partially below the text’s baseline.,24,True
"In this statement <span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 186]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 186]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 186]'></span> the number of flowers is 3 <span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 186]'></span>.",25,False
"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 144, 138]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 144, 155]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 166, 137]'></span> the last emoji in this sentence depicts a bird <span class='emoji-bytes' data-emoji-bytes='[240, 159, 144, 155]'></span>.",26,False
This sentence something wrong has with the word order.,27,True
Evary werd en thas sentance iz mispelled including the words at the end.,28,False
"Assuming that every caterpillar in this sentence will eat one flower and leave the others untouched, <span class='emoji-bytes' data-emoji-bytes='[240, 159, 144, 155]'></span>in this statement <span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 186]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 186]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 186]'></span> the number of flowers will be 2 <span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 186]'></span> after the caterpillar does its thing.",29,False
The sentiment of this sentence is happy :D.,30,True
The product 9 of all of 4 the numbers 5 in this sentence is = 180.,31,False
"This sentence is not written in standerd Inglish, problemz here.",32,True
The tense used in this passage is present and also past; now my shoes were left somewhere but I can’t remember where.,33,True
Ths sntnc cntns no vowels in some words.,34,True
"If you are reading this text aloud, you have not yet said ""said"", but now you have. ",35,False
This statement has a single adjective.,36,True
"This sentence has no. period in the middle, only at the end",37,False
"An antonym of the last word in this sentence is ""sorrowful"" - either that or the last word is just ""sorrowful"" joyful.",38,True
"The emojis in this sentence <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 160]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 172]'></span> are <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 180]'></span> angry and only angry.",39,False
"Read this paragraph. If followed, the instructions in this paragraph cause infinite recursion. Do not blink. Now read this paragraph again.",40,True
"If you replace ""cat"" with ""dog"" in this sentence, you get a slightly different sentence where  some mentions of ""dog"" come after some mentions of ""cat"".",41,True
This sentence has two n’s.,42,False
"If you reverse the words in this sentence, then the beginning word would be ""would"" and it would not be ""duck"". ",43,False
"print(""This line would be valid python code if we added another quote and another closing parentheses to the end \n \n "")",44,False
"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span> If <span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span> you <span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span> ate <span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span> it, <span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span>this <span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span>sentence <span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span>would <span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span>taste <span class='emoji-bytes' data-emoji-bytes='[240, 159, 141, 139]'></span> only <span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 129]'></span>somewhat <span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 129]'></span>sour <span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 129]'></span>and <span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 129]'></span>not <span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 129]'></span>sweet <span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 129]'></span>.",45,False
There is a word in this passage that occurs only twice and I’ll say it again: there is a word in this passage that occurs only twice and I’ll say it again.,46,True
The exact number of e’s in this sentence is seven.,47,False
"If you picked up this block: <span class='emoji-bytes' data-emoji-bytes='[240, 159, 159, 165]'></span>and put it here: then from the farthest purple block <span class='emoji-bytes' data-emoji-bytes='[240, 159, 159, 170]'></span>it would be six words <span class='emoji-bytes' data-emoji-bytes='[240, 159, 159, 170]'></span>.",48,False
"Every last word in this sentence can be considered a grotesque misspelling of ""towmaytoe""  (tomato) with no exception.",49,False
"To pronounce this passage, you need to speak this text out loud exactly twice: ""To pronounce this passage, you need to speak this text out loud exactly twice"".",50,True
Th3r3 4r3 n0 v0w3l ch4r4ct3rs 1n th1s sentence except the last words.,51,True
This statement is actually grammatically correct.,52,True
"This sentence ends with a wugalugzug, which is a word I just made up, and I’ve defined it as ""long known word"".",53,True
Words within this sentence are all entirely arranged in reverse alphabetical order.,54,False
"The number of words in this sentence, when squared, is one hundred ninety six.",55,True
The food words that this sentence contains are guava and cake and also carrot.,56,True
"Read this paragraph. This paragraph’s instructions do not tell you to read it 10 times. Blink. Now read this paragraph again, unless you’ve already read it 10 times.",57,False
This noun phrase is three words long.,58,True
"if someone asks you whether this sentence contains uppercase letters, the correct answer would be No.",59,False
"The longest word in this statement occurring exactly once is ""statement"".",60,False
Out of all the words in this statement none of the words are repeated.,61,False
This special sentence has an adjective but no verb.,62,False
"<pre style='overflow: scroll; max-height: 300px;'>this haiku has a
number of syllables that
it’s supposed to have</pre>",63,True
There is is a word in this passage that occurs exactly thrice and I’ll say it again: there is a word in this passage that occurs exactly thrice and I’ll say it again: there is a word in this passage that occurs exactly thrice and I’ll say it again.,64,True
This sentence ends with a noun.,65,True
